#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -12.8995  -12.6665  -12.2641  -12.1087  -12.1034  -12.0428  -11.9788  -11.9743  -11.8652  -11.8609  -11.6947  -11.6897   -7.0639   -7.0327   -7.0237   -6.9839   -6.9516   -6.9384   -6.8878   -6.8449   -6.7106   -6.6461   -4.9628   -4.6099   -4.1584   -3.9003   -3.5954   -3.5625   -3.4506   -3.4404   -3.3473   -3.1443   -3.0474   -3.0435   -2.8395   -2.6988   -2.6919   -2.4976   -2.2423   -2.0498   -2.0455   -1.9940   -1.8197   -1.7328   -1.5800   -1.5773   -1.4780   -1.2380   -1.0580   -1.0509   -0.9403   -0.9083   -0.8737   -0.6612   -0.6373   -0.3411   -0.2403   -0.2281    0.4891    0.5500    0.5693    0.9219    1.5824    1.6840    1.7151    1.7883    1.8071    1.8578    3.2538    3.5687    4.1056    4.1827    4.8020    5.0363    5.1631    5.2165    5.3282    5.4633    5.7051    5.7201
  0.0103  -12.8993  -12.6663  -12.2640  -12.1088  -12.1036  -12.0427  -11.9789  -11.9743  -11.8654  -11.8610  -11.6948  -11.6897   -7.0639   -7.0329   -7.0236   -6.9838   -6.9517   -6.9385   -6.8874   -6.8451   -6.7107   -6.6459   -4.9625   -4.6097   -4.1584   -3.9003   -3.5961   -3.5623   -3.4506   -3.4406   -3.3469   -3.1442   -3.0469   -3.0436   -2.8388   -2.6990   -2.6912   -2.4977   -2.2421   -2.0498   -2.0454   -1.9927   -1.8197   -1.7329   -1.5798   -1.5774   -1.4783   -1.2380   -1.0588   -1.0499   -0.9408   -0.9091   -0.8735   -0.6616   -0.6381   -0.3416   -0.2408   -0.2292    0.4888    0.5488    0.5714    0.9213    1.5829    1.6840    1.7145    1.7877    1.8071    1.8587    3.2541    3.5696    4.1067    4.1828    4.8033    5.0375    5.1623    5.2168    5.3289    5.4634    5.7039    5.7180
  0.0206  -12.8988  -12.6658  -12.2637  -12.1091  -12.1040  -12.0424  -11.9790  -11.9744  -11.8658  -11.8615  -11.6949  -11.6897   -7.0639   -7.0332   -7.0235   -6.9838   -6.9518   -6.9386   -6.8871   -6.8452   -6.7109   -6.6457   -4.9618   -4.6091   -4.1584   -3.9003   -3.5977   -3.5619   -3.4504   -3.4419   -3.3455   -3.1442   -3.0457   -3.0434   -2.8371   -2.6987   -2.6898   -2.4981   -2.2415   -2.0531   -2.0408   -1.9897   -1.8199   -1.7330   -1.5799   -1.5776   -1.4781   -1.2384   -1.0601   -1.0483   -0.9419   -0.9110   -0.8729   -0.6627   -0.6402   -0.3436   -0.2425   -0.2327    0.4881    0.5479    0.5739    0.9204    1.5839    1.6843    1.7131    1.7866    1.8072    1.8598    3.2550    3.5724    4.1097    4.1832    4.8072    5.0412    5.1602    5.2179    5.3309    5.4635    5.6995    5.7132
  0.0309  -12.8980  -12.6649  -12.2633  -12.1098  -12.1046  -12.0419  -11.9792  -11.9746  -11.8664  -11.8623  -11.6951  -11.6899   -7.0640   -7.0335   -7.0234   -6.9838   -6.9520   -6.9385   -6.8867   -6.8453   -6.7110   -6.6455   -4.9606   -4.6081   -4.1584   -3.9003   -3.6002   -3.5613   -3.4500   -3.4440   -3.3431   -3.1443   -3.0453   -3.0415   -2.8345   -2.6977   -2.6879   -2.4989   -2.2405   -2.0560   -2.0354   -1.9851   -1.8203   -1.7334   -1.5811   -1.5772   -1.4777   -1.2392   -1.0616   -1.0461   -0.9436   -0.9142   -0.8719   -0.6646   -0.6437   -0.3468   -0.2453   -0.2385    0.4869    0.5474    0.5769    0.9190    1.5853    1.6850    1.7110    1.7851    1.8076    1.8609    3.2565    3.5769    4.1149    4.1837    4.8138    5.0471    5.1567    5.2198    5.3342    5.4636    5.6910    5.7083
  0.0412  -12.8968  -12.6638  -12.2627  -12.1108  -12.1053  -12.0412  -11.9795  -11.9748  -11.8675  -11.8632  -11.6953  -11.6901   -7.0641   -7.0339   -7.0233   -6.9839   -6.9523   -6.9384   -6.8864   -6.8455   -6.7111   -6.6452   -4.9590   -4.6066   -4.1585   -3.9003   -3.6035   -3.5604   -3.4501   -3.4463   -3.3398   -3.1445   -3.0455   -3.0380   -2.8309   -2.6963   -2.6853   -2.5001   -2.2392   -2.0583   -2.0290   -1.9791   -1.8209   -1.7339   -1.5833   -1.5764   -1.4770   -1.2402   -1.0635   -1.0434   -0.9460   -0.9184   -0.8707   -0.6671   -0.6487   -0.3512   -0.2493   -0.2462    0.4855    0.5471    0.5802    0.9173    1.5872    1.6859    1.7084    1.7831    1.8082    1.8621    3.2585    3.5832    4.1220    4.1845    4.8228    5.0552    5.1518    5.2224    5.3390    5.4636    5.6795    5.7038
  0.0516  -12.8953  -12.6622  -12.2620  -12.1123  -12.1061  -12.0403  -11.9798  -11.9751  -11.8690  -11.8642  -11.6957  -11.6904   -7.0642   -7.0343   -7.0232   -6.9840   -6.9526   -6.9382   -6.8861   -6.8456   -6.7112   -6.6449   -4.9568   -4.6048   -4.1586   -3.9003   -3.6076   -3.5592   -3.4524   -3.4468   -3.3359   -3.1447   -3.0459   -3.0336   -2.8265   -2.6946   -2.6819   -2.5016   -2.2375   -2.0599   -2.0217   -1.9718   -1.8217   -1.7347   -1.5862   -1.5751   -1.4761   -1.2415   -1.0658   -1.0402   -0.9491   -0.9236   -0.8690   -0.6704   -0.6550   -0.3568   -0.2569   -0.2535    0.4839    0.5471    0.5837    0.9152    1.5896    1.6869    1.7055    1.7807    1.8091    1.8633    3.2611    3.5911    4.1310    4.1856    4.8342    5.0655    5.1453    5.2257    5.3451    5.4634    5.6673    5.6991
  0.0619  -12.8935  -12.6604  -12.2611  -12.1143  -12.1069  -12.0393  -11.9803  -11.9755  -11.8711  -11.8652  -11.6961  -11.6907   -7.0644   -7.0348   -7.0231   -6.9842   -6.9530   -6.9379   -6.8859   -6.8457   -6.7113   -6.6446   -4.9542   -4.6026   -4.1588   -3.9002   -3.6124   -3.5578   -3.4564   -3.4459   -3.3314   -3.1448   -3.0462   -3.0285   -2.8211   -2.6927   -2.6773   -2.5034   -2.2356   -2.0609   -2.0135   -1.9633   -1.8226   -1.7356   -1.5897   -1.5736   -1.4751   -1.2429   -1.0685   -1.0367   -0.9528   -0.9298   -0.8672   -0.6744   -0.6627   -0.3635   -0.2685   -0.2595    0.4821    0.5473    0.5874    0.9127    1.5923    1.6873    1.7028    1.7780    1.8101    1.8645    3.2642    3.6006    4.1420    4.1868    4.8480    5.0775    5.1374    5.2299    5.3528    5.4627    5.6556    5.6937
  0.0722  -12.8913  -12.6582  -12.2600  -12.1168  -12.1077  -12.0380  -11.9809  -11.9759  -11.8738  -11.8662  -11.6966  -11.6911   -7.0646   -7.0354   -7.0230   -6.9844   -6.9534   -6.9375   -6.8856   -6.8458   -6.7113   -6.6443   -4.9511   -4.6000   -4.1590   -3.9002   -3.6177   -3.5563   -3.4609   -3.4446   -3.3265   -3.1448   -3.0465   -3.0230   -2.8148   -2.6909   -2.6715   -2.5055   -2.2335   -2.0612   -2.0043   -1.9538   -1.8238   -1.7368   -1.5939   -1.5717   -1.4741   -1.2444   -1.0716   -1.0328   -0.9573   -0.9366   -0.8650   -0.6791   -0.6719   -0.3712   -0.2819   -0.2663    0.4803    0.5477    0.5911    0.9097    1.5955    1.6864    1.7011    1.7750    1.8112    1.8657    3.2679    3.6115    4.1547    4.1883    4.8639    5.0912    5.1280    5.2349    5.3622    5.4613    5.6453    5.6877
  0.0825  -12.8888  -12.6557  -12.2588  -12.1197  -12.1085  -12.0366  -11.9815  -11.9764  -11.8769  -11.8673  -11.6971  -11.6915   -7.0648   -7.0360   -7.0229   -6.9846   -6.9539   -6.9369   -6.8854   -6.8459   -6.7114   -6.6439   -4.9476   -4.5970   -4.1592   -3.9002   -3.6235   -3.5545   -3.4657   -3.4430   -3.3213   -3.1447   -3.0466   -3.0171   -2.8078   -2.6893   -2.6642   -2.5079   -2.2312   -2.0607   -1.9942   -1.9435   -1.8251   -1.7382   -1.5985   -1.5696   -1.4731   -1.2459   -1.0752   -1.0288   -0.9628   -0.9438   -0.8627   -0.6847   -0.6823   -0.3797   -0.2966   -0.2739    0.4785    0.5482    0.5948    0.9064    1.5990    1.6835    1.7012    1.7719    1.8124    1.8669    3.2720    3.6237    4.1691    4.1900    4.8818    5.1054    5.1179    5.2407    5.3733    5.4590    5.6369    5.6810
  0.0928  -12.8859  -12.6528  -12.2574  -12.1231  -12.1094  -12.0349  -11.9823  -11.9769  -11.8805  -11.8684  -11.6978  -11.6920   -7.0651   -7.0366   -7.0228   -6.9849   -6.9545   -6.9363   -6.8852   -6.8461   -6.7114   -6.6435   -4.9436   -4.5936   -4.1595   -3.9002   -3.6296   -3.5527   -3.4707   -3.4414   -3.3158   -3.1444   -3.0466   -3.0110   -2.8000   -2.6880   -2.6554   -2.5106   -2.2287   -2.0595   -1.9833   -1.9324   -1.8267   -1.7399   -1.6035   -1.5673   -1.4723   -1.2474   -1.0793   -1.0250   -0.9693   -0.9507   -0.8603   -0.6944   -0.6906   -0.3889   -0.3126   -0.2823    0.4767    0.5489    0.5985    0.9027    1.6028    1.6791    1.7025    1.7688    1.8136    1.8681    3.2765    3.6370    4.1845    4.1924    4.9015    5.1033    5.1239    5.2474    5.3862    5.4552    5.6307    5.6738
